4.462837593500e+11,5.414909613446e+03,3.296549369065e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.981175512458e+03,5.213372484565e+17,1.056101515763e+34,1.438142125705e+34,7.401891204203e+16,1.975090527173e+35,9.389778375720e+32,
4.462592134445e+11,5.383101888912e+03,3.251402650307e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.963663787192e+03,5.213372484565e+17,1.070342290088e+34,1.455460662929e+34,7.027569264857e+16,2.001783568283e+35,9.553624769928e+32,
4.462342420159e+11,5.351475886868e+03,3.206871154638e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.946252109144e+03,5.213372484565e+17,1.084773949235e+34,1.472987755152e+34,6.672177205782e+16,2.028836295717e+35,9.720330572653e+32,
4.462088377364e+11,5.320030511795e+03,3.162946488072e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.928939875175e+03,5.213372484565e+17,1.099399016139e+34,1.490725913858e+34,6.334757721703e+16,2.056253522868e+35,9.889945711724e+32,
4.461829931538e+11,5.288764674139e+03,3.119620371130e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.911726485432e+03,5.213372484565e+17,1.114220045963e+34,1.508677680771e+34,6.014401919347e+16,2.084040126494e+35,1.006252098847e+33,
4.461567006893e+11,5.257677290270e+03,3.076884637273e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.894611343325e+03,5.213372484565e+17,1.129239626468e+34,1.526845628226e+34,5.710246869192e+16,2.112201047528e+35,1.023810809312e+33,
4.461299526356e+11,5.226767282450e+03,3.034731231363e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.877593855503e+03,5.213372484565e+17,1.144460378401e+34,1.545232359533e+34,5.421473281030e+16,2.140741291879e+35,1.041675962045e+33,
4.461027411546e+11,5.196033578787e+03,2.993152208145e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.860673431838e+03,5.213372484565e+17,1.159884955870e+34,1.563840509353e+34,5.147303297078e+16,2.169665931260e+35,1.059852908576e+33,
4.460750582754e+11,5.165475113203e+03,2.952139730749e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.843849485401e+03,5.213372484565e+17,1.175516046737e+34,1.582672744073e+34,4.886998396694e+16,2.198980104011e+35,1.078347094110e+33,
4.460468958918e+11,5.135090825394e+03,2.911686069207e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.827121432442e+03,5.213372484565e+17,1.191356373000e+34,1.601731762192e+34,4.639857407052e+16,2.228689015941e+35,1.097164059180e+33,
4.460182457607e+11,5.104879660790e+03,2.871783599000e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.810488692369e+03,5.213372484565e+17,1.207408691192e+34,1.621020294701e+34,4.405214614422e+16,2.258797941173e+35,1.116309441330e+33,
4.459890994992e+11,5.074840570522e+03,2.832424799617e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.793950687727e+03,5.213372484565e+17,1.223675792770e+34,1.640541105483e+34,4.182437970965e+16,2.289312223001e+35,1.135788976830e+33,
4.459594485826e+11,5.044972511383e+03,2.793602253138e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.777506844179e+03,5.213372484565e+17,1.240160504518e+34,1.660296991702e+34,3.970927392209e+16,2.320237274759e+35,1.155608502420e+33,
4.459292843422e+11,5.015274445788e+03,2.755308642834e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.761156590483e+03,5.213372484565e+17,1.256865688948e+34,1.680290784206e+34,3.770113140629e+16,2.351578580695e+35,1.175773957088e+33,
4.458985979627e+11,4.985745341742e+03,2.717536751788e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.744899358476e+03,5.213372484565e+17,1.273794244704e+34,1.700525347934e+34,3.579454290961e+16,2.383341696854e+35,1.196291383877e+33,
4.458673804800e+11,4.956384172800e+03,2.680279461530e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.728734583047e+03,5.213372484565e+17,1.290949106969e+34,1.721003582324e+34,3.398437273144e+16,2.415532251980e+35,1.217166931730e+33,
4.458356227787e+11,4.927189918031e+03,2.643529750700e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.712661702125e+03,5.213372484565e+17,1.308333247877e+34,1.741728421733e+34,3.226574488927e+16,2.448155948414e+35,1.238406857363e+33,
4.458033155896e+11,4.898161561984e+03,2.607280693719e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.696680156653e+03,5.213372484565e+17,1.325949676927e+34,1.762702835851e+34,3.063402998449e+16,2.481218563013e+35,1.260017527177e+33,
4.457704494872e+11,4.869298094649e+03,2.571525459485e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.680789390570e+03,5.213372484565e+17,1.343801441400e+34,1.783929830131e+34,2.908483273241e+16,2.514725948073e+35,1.282005419203e+33,
4.457370148873e+11,4.840598511423e+03,2.536257310082e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.664988850794e+03,5.213372484565e+17,1.361891626776e+34,1.805412446219e+34,2.761398012277e+16,2.548684032262e+35,1.304377125083e+33,
4.457030020442e+11,4.812061813072e+03,2.501469599515e+13,1.303343121141e+17,2.355583439127e+17,1.303343121141e+17,2.649277987197e+03,5.213372484565e+17,1.380223357159e+34,1.827153762390e+34,2.621751017915e+16,2.583098821570e+35,1.327139352087e+33,
